Date,Price,Open,High,Low,Change %
16-Nov-17,330.78,330.89,335.09,321.22,-0.04
15-Nov-17,330.9,334.32,339.5,324.46,-0.83
14-Nov-17,333.67,313.22,336.34,313.22,6.5
13-Nov-17,313.3,303.2,318,302.67,3.17
12-Nov-17,303.68,313,316.71,293.72,-3.06
11-Nov-17,313.26,296.18,319.88,294.74,5.79
10-Nov-17,296.12,319.52,324.03,288,-7.32
9-Nov-17,319.52,307.61,328.78,305.9,3.92
8-Nov-17,307.48,291.78,318.88,290.12,5.5
7-Nov-17,291.46,296.84,304.2,286.8,-1.83
6-Nov-17,296.88,295.2,306.02,292.01,0.33
5-Nov-17,295.9,299.33,300,293.68,-1.18
4-Nov-17,299.42,302.7,303.24,293.17,0.34
3-Nov-17,298.4,285.25,307.19,284.26,4.85
2-Nov-17,284.61,288.63,293,275.77,-1.69
1-Nov-17,289.5,303.51,304.69,287.62,-4.84
31-Oct-17,304.24,307,312,303.21,-0.9
30-Oct-17,307,304.39,311.08,303.93,0.86
29-Oct-17,304.37,293.61,311.84,292.01,3.66
28-Oct-17,293.61,295.99,296.97,289.56,-0.8
27-Oct-17,295.99,295.05,299.2,292.1,0.3
26-Oct-17,295.1,295.25,299,292.58,0.06
25-Oct-17,294.91,296.3,300,289.1,-0.44
24-Oct-17,296.2,284.86,311.2,280.02,4.02
23-Oct-17,284.75,293.51,293.58,274.07,-3.04
22-Oct-17,293.67,299.23,305.37,289.4,-1.78
21-Oct-17,299,302.15,303,290.43,-1.19
20-Oct-17,302.61,306.96,313,301.71,-1.42
19-Oct-17,306.97,313.92,316.5,304.4,-2.06
18-Oct-17,313.43,315.63,316,288.01,-0.7
17-Oct-17,315.64,334.37,334.71,310.22,-5.6
16-Oct-17,334.37,337.04,353.01,331.08,-0.7
15-Oct-17,336.74,339.1,343,317.36,-0.74
14-Oct-17,339.24,337.46,347.88,334.14,0.53
13-Oct-17,337.46,303.1,349.88,298.1,11.34
12-Oct-17,303.1,303.2,310.01,302.18,-0.1
11-Oct-17,303.39,299.32,304.91,296.6,1.36
10-Oct-17,299.32,297.38,307,292.72,0.71
9-Oct-17,297.21,309.74,311.11,287.07,-4.04
8-Oct-17,309.72,311.46,314.31,308.3,-0.56
7-Oct-17,311.46,308.44,315,304.5,0.93
6-Oct-17,308.59,295.09,309.44,293.61,4.5
5-Oct-17,295.3,291.4,297.75,286.51,1.3
4-Oct-17,291.52,291.69,295.81,287.96,-0.04
3-Oct-17,291.64,296.98,300.5,286.29,-1.75
2-Oct-17,296.83,304.5,304.59,292.69,-2.43
1-Oct-17,304.22,303.21,305.54,295.17,0.26
30-Sep-17,303.44,292.76,307.19,292.3,3.68
29-Sep-17,292.68,302.63,303.67,280.5,-3.35
28-Sep-17,302.81,309.86,310.69,297.9,-2.21
27-Sep-17,309.65,289.28,312.49,287.44,7.26
26-Sep-17,288.68,295.16,296.27,287.03,-2.21
25-Sep-17,295.2,282,297.26,281.8,4.75
24-Sep-17,281.81,286.02,294.32,275.61,-1.52
23-Sep-17,286.16,262.31,286.71,259.01,9.14
22-Sep-17,262.19,256.62,269.5,253.05,2.11
21-Sep-17,256.76,283.68,287.29,251.96,-9.43
20-Sep-17,283.5,282.63,293.71,277.01,0.22
19-Sep-17,282.89,296.78,299,275.48,-4.68
18-Sep-17,296.78,257.12,299.6,257,15.44
17-Sep-17,257.09,252.74,263.5,239.18,1.62
16-Sep-17,253,258.68,270,242.34,-2.14
15-Sep-17,258.52,222.93,265.83,201.26,15.89
14-Sep-17,223.08,275.2,280.71,221.71,-19.02
13-Sep-17,275.48,293.9,293.9,256.87,-6.16
12-Sep-17,293.57,297.19,316.2,284.41,-1.22
11-Sep-17,297.19,297.88,307.9,287.67,-0.18
10-Sep-17,297.74,303.2,305,276.28,-1.67
9-Sep-17,302.79,304,307.01,292,-0.46
8-Sep-17,304.18,334.1,334.45,291,-8.96
7-Sep-17,334.1,337.6,338,321.38,-0.97
