,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Vol,Taker Buy Quote Asset Vol,Ignore?
0,1509634800000,0.041534,0.041535,0.040664,0.040909,966.371,1509636599999,39.60990017,788,460.074,18.88782523,141079.114085
1,1509636600000,0.04079,0.040965,0.040163,0.040552,1350.751,1509638399999,54.96755814,979,590.072,24.03943591,141273.035828
2,1509638400000,0.040597,0.040735,0.040166,0.040476,1242.918,1509640199999,50.35498927,993,771.524,31.270422,140953.388839
3,1509640200000,0.040554,0.040884,0.040475,0.040761,1090.328,1509641999999,44.39192176,935,630.096,25.67921005,141492.742067
4,1509642000000,0.04081,0.041697,0.040727,0.041135,1112.004,1509643799999,45.73132074,1049,508.844,20.95448767,140817.774106
5,1509643800000,0.041041,0.041308,0.04075,0.040762,731.855,1509645599999,29.99127567,624,382.639,15.7064749,140852.906309
6,1509645600000,0.040758,0.04128,0.040656,0.041144,956.822,1509647399999,39.13869095,861,483.564,19.78818235,140790.860824
7,1509647400000,0.041193,0.041749,0.041144,0.041443,956.447,1509649199999,39.72513102,961,455.436,18.92035542,140767.020165
8,1509649200000,0.041417,0.041581,0.041182,0.041193,600.392,1509650999999,24.82017722,626,291.775,12.07225484,140862.616489
9,1509651000000,0.04133,0.041375,0.040941,0.041138,827.725,1509652799999,34.07467534,561,374.927,15.45091113,140863.679611
10,1509652800000,0.041154,0.041438,0.040569,0.040596,777.966,1509654599999,31.9527711,569,295.103,12.12846079,140737.752759
11,1509654600000,0.040596,0.040745,0.040239,0.040646,823.22,1509656399999,33.31090809,762,415.818,16.84192447,141290.994345
12,1509656400000,0.040676,0.040857,0.040432,0.040527,625.725,1509658199999,25.41824229,511,357.78,14.53873126,141279.755011
13,1509658200000,0.040664,0.040997,0.039886,0.040066,804.433,1509659999999,32.47558858,601,382.391,15.45044422,141193.11199
14,1509660000000,0.040112,0.040784,0.040078,0.040784,763.554,1509661799999,30.80083194,675,505.806,20.42581513,140698.907574
15,1509661800000,0.040785,0.04112,0.040185,0.040651,791.8,1509663599999,32.07066761,770,435.324,17.69276044,141136.420969
16,1509663600000,0.040639,0.040995,0.040151,0.040167,783.794,1509665399999,31.79773514,623,314.172,12.75505795,140960.386666
17,1509665400000,0.040288,0.04051,0.039998,0.040287,1021.4,1509667199999,41.12408944,558,512.851,20.66528652,141653.481677
18,1509667200000,0.040488,0.041459,0.040283,0.041228,1232.924,1509668999999,50.30693897,990,444.355,18.15627129,141586.494524
19,1509669000000,0.041228,0.041383,0.0407,0.040927,784.647,1509670799999,32.15358032,846,408.119,16.73288341,141927.235489
20,1509670800000,0.041028,0.041497,0.040901,0.041267,911.596,1509672599999,37.59191068,917,329.633,13.61123342,141804.679734
21,1509672600000,0.041245,0.041485,0.04124,0.041285,766.929,1509674399999,31.7001097,715,387.877,16.03864172,141515.299995
22,1509674400000,0.041281,0.041395,0.04076,0.040939,1052.849,1509676199999,43.26190771,746,543.276,22.35786158,141631.424723
23,1509676200000,0.04094,0.041191,0.040901,0.040965,777.338,1509677999999,31.87987665,758,334.166,13.71655358,141854.215545
24,1509678000000,0.04097,0.041112,0.039938,0.039977,1318.916,1509679799999,53.39019941,1077,589.218,23.88111316,142316.823334
25,1509679800000,0.039976,0.040083,0.039537,0.03969,1229.398,1509681599999,48.90682132,1106,630.049,25.08453391,142637.736284
26,1509681600000,0.039717,0.0399,0.039509,0.0398,1707.914,1509683399999,67.8459494,671,880.752,35.01948386,142921.328376
27,1509683400000,0.0398,0.040249,0.039773,0.040077,1236.917,1509685199999,49.50261632,789,540.837,21.66747217,143159.844649
28,1509685200000,0.040069,0.040497,0.04003,0.040257,1024.863,1509686999999,41.28079959,786,623.9,25.13208678,143271.779808
29,1509687000000,0.040343,0.0404,0.04001,0.04002,771.244,1509688799999,31.06456586,687,394.269,15.89469284,143213.717929
30,1509688800000,0.040083,0.040216,0.040004,0.040087,1081.362,1509690599999,43.37023666,568,623.556,25.01630159,143218.542997
31,1509690600000,0.040103,0.040207,0.039854,0.03998,867.328,1509692399999,34.73699856,686,367.243,14.71765191,142755.985312
32,1509692400000,0.040075,0.040283,0.039992,0.040201,1065.416,1509694199999,42.80592647,633,672.07,27.01572059,141325.424395
33,1509694200000,0.040151,0.040214,0.039965,0.04002,1449.461,1509695999999,58.12578744,885,574.139,23.02920854,140402.43255
34,1509696000000,0.040041,0.040286,0.039995,0.040252,1144.18,1509697799999,45.94543594,939,518.802,20.84910183,141682.714762
35,1509697800000,0.040221,0.04027,0.039587,0.039618,1150.326,1509699599999,45.9605048,1115,410.98,16.42171778,143332.289135
36,1509699600000,0.039718,0.040066,0.039435,0.039929,1214.242,1509701399999,48.2099867,977,588.659,23.37911949,143829.969075
37,1509701400000,0.0399,0.03993,0.039501,0.039699,1029.77,1509703199999,40.93277565,684,594.515,23.64785166,143980.351761
38,1509703200000,0.039668,0.039805,0.039401,0.039513,981.206,1509704999999,38.85725668,858,404.901,16.050931,145146.451082
39,1509705000000,0.03964,0.039896,0.039405,0.039883,975.061,1509706799999,38.64562698,767,447.219,17.74501469,146795.964995
40,1509706800000,0.039681,0.040693,0.039661,0.040649,1217.41,1509708599999,48.95260246,876,552.909,22.24686171,145468.293064
41,1509708600000,0.040579,0.040921,0.04055,0.04068,1040.282,1509710399999,42.42267595,1326,517.042,21.09649807,145716.07027
42,1509710400000,0.040755,0.040832,0.040492,0.040568,1085.573,1509712199999,44.09780298,1218,526.002,21.38461352,146142.675806
43,1509712200000,0.040568,0.040892,0.040531,0.040756,890.63,1509713999999,36.2666315,927,349.503,14.24046998,146430.696156
44,1509714000000,0.040711,0.041501,0.040669,0.0413,1848.629,1509715799999,75.94783435,1359,772.746,31.78387394,146907.749428
45,1509715800000,0.0413,0.04134,0.041082,0.041176,1165.224,1509717599999,47.97468467,1376,669.984,27.58809025,146905.872287
46,1509717600000,0.041176,0.041499,0.040918,0.040978,1241.986,1509719399999,51.13515036,1205,604.711,24.90025263,147857.831346
47,1509719400000,0.040978,0.041091,0.040832,0.04103,837.13,1509721199999,34.27331428,764,365.438,14.97403656,148019.670578
48,1509721200000,0.04102,0.041132,0.040747,0.040952,1109.248,1509722999999,45.42023409,979,546.43,22.39061824,148188.263979
49,1509723000000,0.040931,0.041018,0.040698,0.04079,1101.306,1509724799999,45.04612555,934,478.826,19.60164839,148468.530956
50,1509724800000,0.040749,0.04104,0.040629,0.040873,1022.425,1509726599999,41.78342715,977,436.975,17.86165096,148553.799774
51,1509726600000,0.04089,0.041169,0.040714,0.040969,666.609,1509728399999,27.30092148,606,296.192,12.14178867,148314.194324
52,1509728400000,0.041,0.041104,0.040896,0.040961,610.24,1509730199999,25.0240321,698,367.036,15.05719221,147967.891319
53,1509730200000,0.040977,0.041026,0.040735,0.04077,672.808,1509731999999,27.48729423,687,350.143,14.30923361,148034.701568
54,1509732000000,0.04077,0.040847,0.040605,0.040785,667.13,1509733799999,27.17586062,467,330.453,13.46750388,147666.072747
55,1509733800000,0.04072,0.040996,0.040604,0.04074,617.966,1509735599999,25.17510064,497,282.508,11.5184952,147730.096699
56,1509735600000,0.040734,0.041026,0.040601,0.040811,573.73,1509737399999,23.43812305,394,265.223,10.84424058,147518.375867
57,1509737400000,0.040779,0.041291,0.040779,0.04117,584.712,1509739199999,24.00270793,551,219.336,9.00604163,147628.001736
58,1509739200000,0.041143,0.041348,0.041,0.041042,600.832,1509740999999,24.72442895,467,191.147,7.87490715,147622.202005
59,1509741000000,0.041042,0.042,0.040951,0.041957,778.182,1509742799999,32.285097,892,320.88,13.32383065,147581.405563
60,1509742800000,0.041957,0.043029,0.04191,0.042651,1186.423,1509744599999,50.35038619,1163,596.476,25.31273536,147523.013315
61,1509744600000,0.042739,0.043337,0.042461,0.043036,925.896,1509746399999,39.77521606,891,443.192,19.04828111,147693.14614
62,1509746400000,0.043018,0.043131,0.042214,0.042438,898.111,1509748199999,38.31218005,809,404.44,17.24952118,147571.501477
63,1509748200000,0.042281,0.042438,0.042011,0.042272,510.099,1509749999999,21.56433192,577,246.079,10.40466054,147578.004507
64,1509750000000,0.0424,0.043951,0.0422,0.042591,1590.215,1509751799999,68.08427005,1079,796.691,34.34820014,147509.988201
65,1509751800000,0.042821,0.043604,0.042409,0.042666,815.211,1509753599999,34.86640855,786,420.5,18.03192082,147417.104437
66,1509753600000,0.042661,0.043084,0.042557,0.042936,845.265,1509755399999,36.15550932,644,429.902,18.3951254,147504.286604
67,1509755400000,0.042924,0.043067,0.042231,0.042241,646.008,1509757199999,27.56453238,658,297.405,12.70261908,147473.617624
68,1509757200000,0.0423,0.042545,0.04202,0.042443,1040.019,1509758999999,43.9585361,731,495.179,20.93600763,147420.178319
69,1509759000000,0.042277,0.042303,0.04176,0.04176,633.121,1509760799999,26.60007008,790,335.055,14.07894229,147499.10803
70,1509760800000,0.04176,0.041845,0.041354,0.04141,689.717,1509762599999,28.62075208,771,323.008,13.4096397,148081.759423
71,1509762600000,0.041404,0.041642,0.041235,0.04138,518.319,1509764399999,21.43925715,519,270.817,11.2097684,148113.259466
72,1509764400000,0.041451,0.041521,0.0413,0.041435,564.414,1509766199999,23.3528934,489,310.916,12.86606772,148098.226716
73,1509766200000,0.04145,0.041618,0.041051,0.041052,854.712,1509767999999,35.34041676,741,312.042,12.91408084,148552.216643
74,1509768000000,0.041059,0.041437,0.041059,0.041318,1326.902,1509769799999,54.83188955,1203,408.028,16.86357096,148596.047837
75,1509769800000,0.041244,0.041552,0.041182,0.041361,694.538,1509771599999,28.70656562,625,234.16,9.69040703,149168.002117
76,1509771600000,0.04134,0.041511,0.041207,0.041498,836.863,1509773399999,34.61681673,595,445.505,18.43786834,149799.200345
77,1509773400000,0.041403,0.041549,0.041403,0.041536,528.836,1509775199999,21.9278877,568,199.085,8.26157824,150138.716025
78,1509775200000,0.041533,0.041914,0.041467,0.041744,906.816,1509776999999,37.79659697,835,271.627,11.32628001,150542.562027
79,1509777000000,0.04174,0.041969,0.04169,0.041949,670.556,1509778799999,28.02795425,767,358.461,14.99115659,150840.975378
80,1509778800000,0.041855,0.041961,0.041402,0.041697,848.666,1509780599999,35.3657946,662,248.363,10.36253919,151213.455192
81,1509780600000,0.041671,0.041696,0.041234,0.041469,889.847,1509782399999,36.95080968,733,364.886,15.16726195,151329.423065
82,1509782400000,0.041416,0.041591,0.04133,0.04141,447.896,1509784199999,18.572168,650,223.184,9.25981789,151829.699064
83,1509784200000,0.041414,0.04199,0.041414,0.041748,694.512,1509785999999,28.92616456,564,346.696,14.4476467,152848.570873
84,1509786000000,0.041692,0.041952,0.041691,0.041859,981.883,1509787799999,41.0865639,699,368.191,15.41186685,153121.019478
85,1509787800000,0.041856,0.042135,0.04184,0.042021,819.778,1509789599999,34.35620924,544,270.374,11.34280232,153113.436435
86,1509789600000,0.042035,0.042867,0.042003,0.0427,1609.219,1509791399999,68.29020977,1455,723.702,30.77653906,153839.634735
87,1509791400000,0.042716,0.042814,0.04238,0.042386,955.421,1509793199999,40.70337416,786,394.329,16.81945284,153938.771663
88,1509793200000,0.042386,0.042428,0.042117,0.042314,613.321,1509794999999,25.9217977,920,284.734,12.04683266,154081.189052
89,1509795000000,0.042314,0.042428,0.0422,0.042292,694.906,1509796799999,29.37414556,603,273.034,11.5485755,154177.292154
90,1509796800000,0.042425,0.042425,0.04223,0.042299,521.71,1509798599999,22.05611984,549,232.623,9.84279779,154693.959812
91,1509798600000,0.042293,0.042363,0.042183,0.04223,715.801,1509800399999,30.24573727,604,330.355,13.96720604,154632.926754
92,1509800400000,0.04223,0.04224,0.04168,0.041719,804.08,1509802199999,33.74342804,944,294.78,12.36323264,148562.46984
93,1509802200000,0.041693,0.041783,0.040973,0.041076,1643.435,1509803999999,67.93384998,1606,683.502,28.28309886,148507.579549
94,1509804000000,0.041263,0.041372,0.04087,0.041157,907.929,1509805799999,37.28817453,1022,406.674,16.71592837,148980.457553
95,1509805800000,0.041164,0.041349,0.041,0.041155,635.123,1509807599999,26.12197621,629,172.649,7.10811495,149096.905519
96,1509807600000,0.041155,0.041372,0.041021,0.041021,653.362,1509809399999,26.93166809,749,290.409,11.97555846,149263.34139
97,1509809400000,0.041118,0.041253,0.040967,0.041081,714.411,1509811199999,29.3577706,750,302.623,12.44448483,148444.734764
98,1509811200000,0.040986,0.041092,0.040333,0.040458,1039.28,1509812999999,42.27679077,965,449.713,18.29282103,148629.334733
99,1509813000000,0.040622,0.040688,0.040316,0.040505,497.417,1509814799999,20.12128303,669,209.663,8.4872951,148648.607659
100,1509814800000,0.040502,0.040772,0.040359,0.040676,638.302,1509816599999,25.90235069,646,326.724,13.2639395,149207.636
101,1509816600000,0.040699,0.040904,0.040635,0.040796,502.452,1509818399999,20.50638361,707,240.798,9.83175227,149156.49118
102,1509818400000,0.040799,0.040881,0.040624,0.040645,312.215,1509820199999,12.72113127,339,134.278,5.47500227,149198.737172
103,1509820200000,0.040706,0.040821,0.040615,0.040647,447.908,1509821999999,18.23270353,480,198.122,8.06913607,149117.419137
104,1509822000000,0.040682,0.04083,0.040366,0.040579,495.839,1509823799999,20.13353568,483,162.22,6.59211449,149312.926759
105,1509823800000,0.040578,0.040635,0.04026,0.04026,335.018,1509825599999,13.54383158,379,169.852,6.87403285,149343.564253
106,1509825600000,0.040261,0.0404,0.039802,0.040069,717.739,1509827399999,28.81957649,779,228.626,9.1956508,149306.764575
107,1509827400000,0.040069,0.040392,0.039866,0.04001,284.42,1509829199999,11.39781217,446,110.396,4.42916014,149392.595632
108,1509829200000,0.040149,0.040175,0.039816,0.039817,507.058,1509830999999,20.25505267,471,240.872,9.63184512,149454.179387
109,1509831000000,0.039848,0.040137,0.039755,0.039879,420.206,1509832799999,16.78769636,366,223.963,8.95323645,149527.838965
110,1509832800000,0.039994,0.040353,0.039916,0.040227,569.88,1509834599999,22.9074033,408,206.082,8.28597419,148967.581396
111,1509834600000,0.040247,0.040562,0.040227,0.040406,760.058,1509836399999,30.7271622,490,345.326,13.96703364,149057.582175
112,1509836400000,0.040401,0.040602,0.040227,0.040253,511.228,1509838199999,20.63762255,530,267.889,10.818098,149019.121415
113,1509838200000,0.040273,0.040643,0.040227,0.040575,781.012,1509839999999,31.5736758,638,403.772,16.32960254,149491.743285
114,1509840000000,0.040535,0.040916,0.040535,0.0408,509.393,1509841799999,20.74432334,523,214.398,8.73979976,149453.064226
115,1509841800000,0.0408,0.040981,0.040694,0.040728,468.567,1509843599999,19.13013389,477,217.712,8.8947656,149484.252295
116,1509843600000,0.040795,0.040853,0.040465,0.040651,458.777,1509845399999,18.65098554,685,176.812,7.19392758,149441.545154
117,1509845400000,0.040612,0.040643,0.040407,0.0405,584.751,1509847199999,23.72451051,459,323.545,13.13379151,149233.275365
118,1509847200000,0.040526,0.040749,0.040448,0.04061,619.442,1509848999999,25.15413109,609,188.233,7.64496048,149278.745462
119,1509849000000,0.04061,0.04075,0.040508,0.040541,710.746,1509850799999,28.88391526,571,360.408,14.6536035,149406.407861
120,1509850800000,0.040589,0.040779,0.04026,0.040633,744.005,1509852599999,30.2227901,572,295.206,12.00159866,149653.143961
121,1509852600000,0.040646,0.040646,0.040279,0.040412,705.761,1509854399999,28.55721839,765,361.519,14.63651739,149884.033983
122,1509854400000,0.040401,0.040599,0.040351,0.040486,516.919,1509856199999,20.91295488,532,300.988,12.18362487,149832.894314
123,1509856200000,0.040361,0.040477,0.040227,0.04028,1032.066,1509857999999,41.64433759,702,325.55,13.14985185,150066.230525
124,1509858000000,0.040393,0.0404,0.040236,0.040388,627.441,1509859799999,25.30583908,528,198.013,7.9919648,150166.211351
125,1509859800000,0.040387,0.040388,0.040227,0.040282,838.63,1509861599999,33.78387575,550,325.98,13.13977212,150601.959486
126,1509861600000,0.040272,0.040345,0.040094,0.040137,809.676,1509863399999,32.57050101,967,390.328,15.70057361,150331.620277
127,1509863400000,0.040143,0.040391,0.040136,0.040196,627.298,1509865199999,25.24996154,603,288.595,11.62201041,150783.263696
128,1509865200000,0.040136,0.040688,0.0401,0.04052,843.697,1509866999999,34.13412437,823,420.667,17.02553351,150884.567911
129,1509867000000,0.040534,0.040587,0.040231,0.040306,526.183,1509868799999,21.27121774,652,240.393,9.72393992,153314.564199
130,1509868800000,0.040205,0.040352,0.04009,0.04011,826.337,1509870599999,33.22405922,674,262.576,10.570277,153753.685299
131,1509870600000,0.040111,0.040349,0.040111,0.040234,687.873,1509872399999,27.65515854,815,305.638,12.29653653,153800.197832
132,1509872400000,0.040244,0.040281,0.04008,0.040197,792.393,1509874199999,31.835033,769,420.204,16.89176452,153456.534713
133,1509874200000,0.040199,0.040422,0.040038,0.040151,934.539,1509875999999,37.53487782,848,476.036,19.12782491,153661.553786
134,1509876000000,0.040219,0.040278,0.04,0.040108,582.562,1509877799999,23.38749613,736,230.739,9.27222514,153856.224954
135,1509877800000,0.040142,0.0403,0.04005,0.040206,631.097,1509879599999,25.33918056,577,269.911,10.84212554,153770.32691
136,1509879600000,0.040129,0.040248,0.039421,0.039562,1027.567,1509881399999,41.00291859,1032,419.195,16.74274075,154124.261835
137,1509881400000,0.039465,0.039862,0.039255,0.039483,1021.581,1509883199999,40.42256387,1016,455.982,18.06087636,154028.983317
